sample;sampleID;captureID;specimen;animal;sample_type;species;order;development;sampling_areaEHI;sampling_date;country;geographic_location;latitude;longitude;n_extractions;n_libraries;n_indexed_libraries;n_sequenced_datasets;host_data;metagenomic_data;n_MAGs;sex;bm;repro;sampling_site;area_type;macroarea;BU;month;year;season;singlem_fraction;reads_post_fastp;host_reads;reads_lost_fastp_percent;metagenomic_bases;host_bases;bases_lost_fastp_percent;diversity;C
EHI00382;AEL08;SD0039802;SD00398;5712;Faecal;Sciurus carolinensis;Rodentia;Nursing;ILO;2021-10-12;Italy;Piedmont, ILO;45.02;7.67;1;1;1;1;2.814;9.66;511;F;640;lactating;ILO;urban;ILO;68.495726;10;2021;autumn;0.6842;85779402;19247920;0.0188617312162468;9660038506;2813760507;0.04883757767618;19.5684728797995;0.864189773391581
EHI00375;AEL09;SD0039402;SD00394;5704;Faecal;Sciurus carolinensis;Rodentia;Adult;ILO;2021-10-12;Italy;Piedmont, ILO;45.02;7.67;1;1;1;1;0.19;1.604;456;F;575;nonbreeding;ILO;urban;ILO;68.495726;10;2021;autumn;0.6926;12267744;1270384;0.103775704889127;1604389309;189567995;0.126278844077388;19.3772668088847;0.691381468939264
EHI01516;AEL11;SD0031103;SD00311;4910;Faecal;Sciurus vulgaris;Rodentia;Adult;Pineta;2021-10-20;Italy;Lombardy, Pineta;45.76;8.9;1;1;1;1;1.357;2.452;165;M;345;nonbreeding;PIN-CAPR;suburban;PINS;28.820513;10;2021;autumn;0.6857;25945184;9238454;0.0261202128114;2452080014;1356854283;0.0468509499161207;17.7671118327338;0.877793591423322
EHI01522;AEL13;SD0043003;SD00430;5799;Faecal;Sciurus vulgaris;Rodentia;Adult;Pineta;2021-10-20;Italy;Lombardy, Pineta;45.78;8.91;1;1;1;1;3.167;3.953;67;M;295;nonbreeding;PIN;rural;PINR;12.854701;10;2021;autumn;0.9149;48056350;21305012;0.03246509371849;3952797002;3167358732;0.0443164866792913;15.5528494967224;0.954414418440309
EHI00371;AEL21;SD0177601;SD01776;4322;Faecal;Sciurus vulgaris;Rodentia;Adult;Varese;2021-10-25;Italy;Lombardy, Varese;45.83;8.83;1;1;1;1;0.098;3.546;295;F;360;nonbreeding;Ville Ponti;urban;VAU;84.991453;10;2021;autumn;0.8833;24747114;670726;0.0231887689369539;3546261854;97834132;0.0410750155360702;15.5736660964312;0.99169654684644
EHI00361;AEL24;SD0177701;SD01777;4303;Faecal;Sciurus vulgaris;Rodentia;Adult;Varese;2021-10-25;Italy;Lombardy, Varese;45.83;8.83;1;1;1;1;8.05;18.975;308;F;325;nonbreeding;Ville Ponti;urban;VAU;84.991453;10;2021;autumn;0.7739;184338680;54672696;0.0253745041410566;18974916774;8049504870;0.0474529330077058;17.4421377991582;0.796607658953976
EHI00416;AEL40;SD0031002;SD00310;4907;Faecal;Sciurus carolinensis;Rodentia;Adult;Torino;2021-11-10;Italy;Piedmont, Torino;45.06;7.69;1;1;1;1;0.104;2.256;406;M;625;breeding;TO;urban;TO;72.376068;11;2021;autumn;0.7109;16011870;694658;0.013123128250042;2255895039;103518664;0.0305313852033421;19.2756182034663;0.755153445743327
EHI00392;AEL44;SD0031703;SD00317;4920;Faecal;Sciurus carolinensis;Rodentia;Adult;Torino;2021-11-10;Italy;Piedmont, Torino;45.06;7.69;1;1;1;1;0.729;1.785;395;F;685;nonbreeding;TO;urban;TO;72.376068;11;2021;autumn;0.6919;17226498;4890902;0.0157799743925077;1784557379;729386485;0.0424542878837482;19.1062657614094;0.735165246853105
EHI01498;AEL49;SD0169502;SD01695;5791;Faecal;Sciurus vulgaris;Rodentia;Adult;Varese;2021-10-25;Italy;Lombardy, Varese;45.84;8.81;1;1;1;1;0.127;4.967;116;F;355;nonbreeding;Villa Toeplitz;suburban;VAS;30.871795;10;2021;autumn;0.8859;34304424;859104;0.0267534520404816;4967002806;127318305;0.0364643278511155;14.9988960893537;0.995785072912108
EHI00399;AEL51;SD0029602;SD00296;4376;Faecal;Sciurus carolinensis;Rodentia;Adult;Torino;2021-11-10;Italy;Piedmont, Torino;45.06;7.69;1;1;1;1;0.967;3.416;406;M;580;nonbreeding;TO;urban;TO;72.376068;11;2021;autumn;0.6827;29929518;6518940;0.0151551407360374;3416429898;967409363;0.0383180555429418;18.624617711887;0.834959765141371
EHI00393;AEL61;SD0178601;SD01786;TO15;Faecal;Sciurus carolinensis;Rodentia;Adult;Torino;2021-11-10;Italy;Piedmont, Torino;45.06;7.69;1;1;1;1;0.376;2.263;403;F;620;nonbreeding;TO;urban;TO;72.376068;11;2021;autumn;0.6273;18425978;2635640;0.0205670533374327;2263096445;376028113;0.0647821452764549;18.965637556249;0.773350421691406
EHI00406;AEL64;SD0178701;SD01787;TO19;Faecal;Sciurus carolinensis;Rodentia;Adult;Torino;2021-11-11;Italy;Piedmont, Torino;45.06;7.69;1;1;1;1;0.159;3.093;408;F;570;nonbreeding;TO;urban;TO;72.376068;11;2021;autumn;0.681;22229450;1105954;0.0160110429044851;3092901233;159002522;0.0403609072776763;19.0811967984154;0.806183657439497
EHI00381;AEL73;SD0044604;SD00446;5954;Faecal;Sciurus vulgaris;Rodentia;Adult;Calusco;2021-11-16;Italy;Lombardy, Calusco;45.68;9.46;1;1;1;1;0.096;3.081;584;F;290;nonbreeding;C03-18;rural;CAL;15;11;2021;autumn;0.7039;21872528;706762;0.0223819603432415;3080717836;96191496;0.0533623202838123;18.8594525977275;0.859406542456119
EHI00411;AEL78;SD0179001;SD01790;5831;Faecal;Sciurus vulgaris;Rodentia;Adult;Calusco;2021-11-16;Italy;Lombardy, Calusco;45.68;9.46;1;1;1;1;0.005;3.374;585;M;350;breeding;C03-18;rural;CAL;15;11;2021;autumn;0.7244;23060214;39040;0.0115526392199756;3373733992;5253345;0.0344260999003818;18.7454009404225;0.864921869908692
EHI00405;AEL81;SD0179101;SD01791;5830;Faecal;Sciurus vulgaris;Rodentia;Adult;Calusco;2021-11-16;Italy;Lombardy, Calusco;45.68;9.46;1;1;1;1;0.367;3.72;581;M;300;breeding;C03-18;rural;CAL;15;11;2021;autumn;0.7097;27784262;2478080;0.0124642864048352;3720320594;366709076;0.0315650009231699;18.6229885845593;0.893151637269581
EHI00389;AEL82;SD0178901;SD01789;5826;Faecal;Sciurus vulgaris;Rodentia;Adult;Calusco;2021-11-16;Italy;Lombardy, Calusco;45.68;9.46;1;1;1;1;0.011;3.568;593;F;330;nonbreeding;C03-18;rural;CAL;15;11;2021;autumn;0.7512;24352902;87126;0.0174258430510509;3568247771;11150393;0.0372060152894259;18.755745861704;0.891645600507149
EHI01520;AEL88;SD0045303;SD00453;5971;Faecal;Sciurus vulgaris;Rodentia;Adult;Calusco;2021-11-17;Italy;Lombardy, Calusco;45.68;9.46;1;1;1;1;0.025;3.203;320;F;320;nonbreeding;C03-18;rural;CAL;15;11;2021;autumn;0.7309;21863612;174912;0.0296200165283534;3203396216;24675246;0.0448495177159035;19.0195976343335;0.842088035064284
EHI00394;AEL92;SD0046603;SD00466;5992;Faecal;Sciurus vulgaris;Rodentia;Adult;Calusco;2021-11-16;Italy;Lombardy, Calusco;45.68;9.46;1;1;1;1;0.069;3.433;576;F;280;nonbreeding;C03-18;rural;CAL;15;11;2021;autumn;0.6898;24140418;507636;0.0189854323078346;3432844170;68785224;0.0513421802463986;18.1028469329284;0.909102899004083
EHI01506;AEL96;SD0045603;SD00456;5976;Faecal;Sciurus vulgaris;Rodentia;Adult;Calusco;2021-11-17;Italy;Lombardy, Calusco;45.68;9.46;1;1;1;1;0.002;7.036;338;M;290;breeding;C03-18;rural;CAL;15;11;2021;autumn;0.6953;47370558;10447;0.0338687327586759;7035690113;1974994;0.0431034809644197;18.7834922979529;0.919215707787765
EHI01457;AEM04;SD0170903;SD01709;5745;Faecal;Sciurus vulgaris;Rodentia;Adult;Pineta;2021-12-10;Italy;Lombardy, Pineta;45.74;8.91;1;1;1;1;1.155;3.513;177;F;375;nonbreeding;Seminario;suburban;PINS;39.227642;12;2021;winter;0.7296;31464560;7777570;0.0315748263181416;3512740959;1155426469;0.0421454376528398;18.2417468630866;0.912883757416958
EHI01486;AEM06;SD0172203;SD01722;5797;Faecal;Sciurus vulgaris;Rodentia;Adult;Varese;2021-12-16;Italy;Lombardy, Varese;45.82;8.81;1;1;1;1;0.609;3.507;137;F;335;nonbreeding;Palace;suburban;VAS;73.957265;12;2021;winter;0.7568;27666202;4050582;0.0242622099294438;3506858483;609211455;0.0322235086502607;16.9209022722314;0.962096314103111
EHI01528;AEM07;SD0170803;SD01708;5733;Faecal;Sciurus vulgaris;Rodentia;Adult;Pineta;2021-12-10;Italy;Lombardy, Pineta;45.74;8.91;1;1;1;1;4.113;3.199;162;F;370;nonbreeding;Seminario;suburban;PINS;39.227642;12;2021;winter;0.6934;49492870;27465066;0.0300549510893052;3198798717;4112727931;0.0447406434898322;16.3987349907127;0.936816798809353
EHI01493;AEM26;SD0169503;SD01695;5791;Faecal;Sciurus vulgaris;Rodentia;Pregnant;Varese;2022-01-24;Italy;Lombardy, Varese;45.84;8.81;1;1;1;1;3.75;2.878;135;F;350;pregnant;Villa Toeplitz;suburban;VAS;30.871795;1;2022;winter;0.7482;44550318;24968268;0.0257889216524706;2877546651;3750090157;0.0337940720397016;17.3421755328054;0.925589602323784
EHI01454;AEU09;SD0170303;SD01703;5777;Faecal;Sciurus vulgaris;Rodentia;Adult;Golasecca;2022-02-07;Italy;Lombardy, Golasecca;45.69;8.66;1;1;1;1;0.459;3.38;326;M;340;breeding;GS;rural;GS;5.82;2;2022;winter;0.7196;25954582;3123197;0.0320732567696108;3379557396;458621857;0.0457493929740451;18.1482384018684;0.929226030595495
