sample;EHI02000;EHI00416;EHI02025;EHI00142;EHI00392;EHI02068;EHI01508;EHI01482;EHI01523;EHI00408;EHI01467;EHI01527;EHI01507;EHI01499;EHI01473;EHI01463;EHI02001;EHI01526;EHI02008;EHI00276;EHI00414;EHI00402;EHI02036;EHI01494;EHI00385;EHI00375;EHI02032;EHI00382;EHI00144;EHI01550;EHI00161;EHI00376;EHI01464;EHI02002;EHI01529;EHI01549;EHI01480;EHI02019;EHI02003;EHI00380;EHI00393;EHI02029;EHI01458;EHI01461;EHI01996;EHI02039;EHI00374;EHI01472;EHI00410;EHI01770;EHI02037;EHI02028;EHI01496;EHI02020;EHI01771;EHI02235;EHI01478;EHI01728;EHI01517;EHI01518;EHI02011;EHI02274;EHI01501;EHI01522;EHI02263;EHI01831;EHI01485;EHI01559;EHI02297;EHI01521;EHI02291;EHI02007;EHI02009;EHI02292;EHI01493;EHI01530;EHI00383;EHI01528;EHI01504;EHI02012;EHI02015;EHI01483;EHI02255;EHI01997;EHI02300;EHI00368;EHI02304;EHI02301;EHI02306;EHI02242;EHI00361;EHI02035;EHI02017;EHI02038;EHI00389;EHI00411;EHI00405;EHI02303;EHI02241;EHI02305;EHI02302;EHI02023
EHI02020;0.07488;0.09793;0.04946;0.11354;0.05992;0.06837;0.05734;0.08836;0.06447;0.08482;0.07080;0.12020;0.06976;0.06811;0.11605;0.07595;0.08902;0.09578;0.11362;0.10295;0.10957;0.13706;0.08107;0.05878;0.09910;0.08425;0.05721;0.04594;0.06142;0.06805;0.11875;0.10230;0.10257;0.07253;0.06767;0.08412;0.06855;0.06151;0.06186;0.06976;0.07407;0.07290;0.01098;0.01351;0.02514;0.11149;0.09694;0.01405;0.03796;0.10627;0.07268;0.05611;0.05908;0.00000;0.09766;0.00850;0.01006;0.06558;0.03855;0.01548;0.00902;0.01880;0.01911;0.01725;0.08740;0.05739;0.02237;0.07434;0.09732;0.02171;0.01250;0.01525;0.04174;0.01688;0.01389;0.01686;0.00900;0.01871;0.01881;0.01367;0.06578;0.02708;0.01137;0.02568;0.02221;0.04959;0.04947;0.00908;0.07675;0.00823;0.00907;0.01139;0.01783;0.10423;0.12989;0.14918;0.04206;0.09156;0.00886;0.01749;0.01674;0.03783
EHI01771;0.09854;0.10304;0.11374;0.10654;0.11408;0.10614;0.11911;0.10873;0.11760;0.10565;0.11440;0.10646;0.11547;0.11457;0.10598;0.11067;0.09507;0.10800;0.09359;0.10436;0.10335;0.11078;0.10833;0.11864;0.10573;0.10562;0.10733;0.12726;0.11560;0.11949;0.10584;0.10302;0.10474;0.09610;0.11492;0.11117;0.11368;0.10324;0.10566;0.11096;0.11022;0.10105;0.10722;0.10265;0.07790;0.08309;0.07938;0.10029;0.08562;0.08299;0.07597;0.06757;0.08011;0.09766;0.00000;0.10189;0.10635;0.08388;0.09067;0.10107;0.09856;0.08656;0.10033;0.09740;0.07027;0.07624;0.09732;0.08406;0.07852;0.09537;0.09182;0.08768;0.07763;0.09068;0.10138;0.10110;0.10652;0.09581;0.09797;0.09103;0.06016;0.09361;0.09343;0.08157;0.09255;0.09000;0.08105;0.10329;0.07241;0.10525;0.10685;0.09505;0.08425;0.08487;0.09116;0.10305;0.08400;0.08410;0.09941;0.09273;0.09319;0.07459
EHI02235;0.08443;0.10670;0.05278;0.12160;0.06480;0.07603;0.06279;0.09951;0.07141;0.09541;0.07757;0.12887;0.07309;0.07601;0.12771;0.08326;0.09922;0.10740;0.12413;0.11108;0.12122;0.14695;0.09020;0.06380;0.11004;0.09331;0.06338;0.04711;0.06726;0.07143;0.13005;0.11059;0.11180;0.08092;0.07441;0.09236;0.07601;0.06851;0.07031;0.07728;0.07966;0.08210;0.00963;0.01179;0.02898;0.12030;0.10349;0.01337;0.04249;0.11413;0.07996;0.06205;0.06577;0.00850;0.10189;0.00000;0.00870;0.07337;0.04341;0.01498;0.00615;0.02055;0.02056;0.01658;0.09385;0.05764;0.02387;0.08053;0.10233;0.02315;0.00946;0.01713;0.04771;0.01769;0.01287;0.01648;0.00457;0.01522;0.01987;0.01406;0.06974;0.03051;0.01272;0.02910;0.02327;0.05528;0.05344;0.00539;0.08015;0.00547;0.00498;0.00997;0.01939;0.11000;0.13707;0.15822;0.04628;0.09807;0.00886;0.01602;0.01352;0.04387
EHI01478;0.08407;0.10550;0.05482;0.12304;0.06522;0.07542;0.06315;0.09581;0.07041;0.09499;0.07606;0.12929;0.07500;0.07501;0.12662;0.08203;0.09931;0.10477;0.12339;0.11265;0.11897;0.14531;0.09014;0.06437;0.10714;0.09158;0.06418;0.04891;0.06743;0.07376;0.12947;0.11152;0.11096;0.08113;0.07393;0.09159;0.07586;0.06772;0.06905;0.07728;0.08147;0.08267;0.01193;0.01478;0.03005;0.12173;0.10489;0.01576;0.04350;0.11347;0.08229;0.06343;0.06732;0.01006;0.10635;0.00870;0.00000;0.07337;0.04388;0.01747;0.01007;0.02288;0.02149;0.01929;0.09479;0.06217;0.02497;0.08189;0.10525;0.02512;0.01421;0.01919;0.04836;0.02004;0.01503;0.01881;0.00898;0.02085;0.02099;0.01606;0.07484;0.03095;0.01412;0.03103;0.02573;0.05618;0.05607;0.00957;0.08422;0.00816;0.00885;0.01295;0.02191;0.11275;0.13976;0.15762;0.04916;0.09817;0.01038;0.02004;0.01880;0.04490
EHI01728;0.07586;0.08706;0.08453;0.10012;0.08634;0.07941;0.08945;0.08617;0.08516;0.08399;0.08720;0.10058;0.09115;0.08548;0.09615;0.08406;0.07820;0.09108;0.09201;0.09082;0.09044;0.10872;0.08533;0.08892;0.08936;0.08408;0.07873;0.09440;0.08558;0.09413;0.09761;0.09111;0.09084;0.07510;0.08731;0.09013;0.08781;0.07590;0.07821;0.08396;0.08681;0.07983;0.07193;0.07182;0.05439;0.09208;0.07980;0.07010;0.06005;0.08873;0.06911;0.05808;0.06432;0.06558;0.08388;0.07337;0.07337;0.00000;0.06486;0.07064;0.06865;0.05973;0.06861;0.07041;0.07124;0.07355;0.06759;0.07253;0.08018;0.06650;0.06850;0.05845;0.05521;0.06213;0.07116;0.07042;0.07649;0.07304;0.06938;0.06140;0.06253;0.06572;0.06248;0.05660;0.06548;0.06973;0.06612;0.07565;0.07376;0.07309;0.07555;0.06718;0.06024;0.08808;0.10225;0.11679;0.06191;0.07976;0.06511;0.06889;0.07153;0.05325
EHI01517;0.07443;0.09178;0.06565;0.10566;0.07162;0.07058;0.07223;0.08478;0.07342;0.08224;0.07655;0.10767;0.07726;0.07441;0.10573;0.07742;0.08190;0.09289;0.10294;0.09650;0.09899;0.12561;0.08079;0.07184;0.09248;0.08299;0.06537;0.07056;0.07121;0.07903;0.10934;0.09737;0.09509;0.07241;0.07518;0.08387;0.07404;0.06557;0.06609;0.07461;0.07806;0.07465;0.04326;0.04368;0.03679;0.10373;0.08906;0.04251;0.04732;0.10096;0.07052;0.05658;0.05915;0.03855;0.09067;0.04341;0.04388;0.06486;0.00000;0.04459;0.04027;0.03873;0.04259;0.04327;0.07963;0.06217;0.04365;0.07294;0.08967;0.04297;0.04129;0.03533;0.04667;0.03884;0.04336;0.04363;0.04478;0.04615;0.04269;0.03648;0.06222;0.04514;0.03689;0.03862;0.04367;0.05691;0.05531;0.04457;0.07522;0.04341;0.04485;0.03888;0.03750;0.09685;0.11748;0.13748;0.04944;0.08423;0.03888;0.04271;0.04372;0.04330
EHI01518;0.07909;0.10314;0.05543;0.11814;0.06550;0.07465;0.06478;0.09406;0.07177;0.09090;0.07550;0.12390;0.07461;0.07562;0.12162;0.08094;0.09417;0.10180;0.11746;0.10705;0.11489;0.14377;0.08787;0.06537;0.10516;0.08740;0.06300;0.05228;0.06758;0.07233;0.12563;0.10707;0.10712;0.07819;0.07420;0.08960;0.07459;0.06740;0.06808;0.07587;0.07903;0.07820;0.01858;0.02032;0.03089;0.11548;0.10081;0.02060;0.04345;0.10905;0.07770;0.06070;0.06523;0.01548;0.10107;0.01498;0.01747;0.07064;0.04459;0.00000;0.01506;0.02397;0.02599;0.02286;0.09052;0.05796;0.02801;0.07828;0.10060;0.02755;0.01744;0.02181;0.04678;0.02241;0.02039;0.02277;0.01612;0.02265;0.02462;0.01941;0.06807;0.03309;0.01865;0.03138;0.02754;0.05524;0.05304;0.01595;0.07960;0.01521;0.01590;0.01684;0.02328;0.10754;0.13734;0.15244;0.04722;0.09482;0.01605;0.02224;0.02117;0.04284
EHI02011;0.07789;0.09855;0.05023;0.11573;0.06177;0.07113;0.05877;0.09256;0.06734;0.08865;0.07330;0.12181;0.06927;0.07035;0.11874;0.07890;0.09435;0.10023;0.11441;0.10522;0.11099;0.14093;0.08456;0.06077;0.10359;0.08489;0.05973;0.04584;0.06461;0.06719;0.12265;0.10464;0.10480;0.07525;0.07039;0.08707;0.07142;0.06377;0.06466;0.07162;0.07577;0.07616;0.01084;0.01307;0.02646;0.11269;0.09705;0.01336;0.03998;0.10811;0.07446;0.05693;0.06141;0.00902;0.09856;0.00615;0.01007;0.06865;0.04027;0.01506;0.00000;0.01907;0.01953;0.01633;0.08838;0.05220;0.02258;0.07607;0.09703;0.02165;0.00921;0.01577;0.04436;0.01646;0.01335;0.01632;0.00699;0.01509;0.01934;0.01336;0.06335;0.02820;0.01277;0.02647;0.02239;0.05097;0.04954;0.00692;0.07548;0.00695;0.00661;0.00989;0.01757;0.10526;0.13188;0.14888;0.04371;0.09232;0.00941;0.01494;0.01314;0.03938
EHI02274;0.06952;0.08804;0.05147;0.10552;0.05993;0.06334;0.05880;0.08126;0.06364;0.07857;0.06727;0.10803;0.06603;0.06621;0.10447;0.07058;0.07990;0.08836;0.10179;0.09379;0.09781;0.12511;0.07545;0.06054;0.09167;0.07511;0.05539;0.05303;0.05922;0.06584;0.10799;0.09305;0.09316;0.06716;0.06675;0.07795;0.06643;0.05707;0.05880;0.06608;0.06955;0.06838;0.02310;0.02322;0.02454;0.10310;0.08654;0.02318;0.03644;0.09781;0.06472;0.04784;0.05324;0.01880;0.08656;0.02055;0.02288;0.05973;0.03873;0.02397;0.01907;0.00000;0.02575;0.02467;0.07694;0.05050;0.02704;0.06718;0.08667;0.02594;0.01998;0.01942;0.03822;0.02152;0.02371;0.02451;0.02233;0.02400;0.02526;0.01924;0.05638;0.03027;0.01929;0.02654;0.02693;0.04638;0.04468;0.02140;0.06784;0.02132;0.02194;0.01889;0.02080;0.09400;0.11862;0.14028;0.03931;0.08152;0.01931;0.02287;0.02306;0.03424
EHI01501;0.07737;0.09793;0.05658;0.11649;0.06538;0.07083;0.06469;0.08985;0.06987;0.08751;0.07415;0.11917;0.07435;0.07211;0.11530;0.07781;0.08947;0.09814;0.11403;0.10346;0.11003;0.13692;0.08490;0.06496;0.09988;0.08633;0.06210;0.05511;0.06581;0.07436;0.12033;0.10417;0.10371;0.07590;0.07226;0.08771;0.07294;0.06454;0.06517;0.07383;0.07829;0.07754;0.02168;0.02396;0.03037;0.11559;0.09921;0.02401;0.04253;0.11083;0.07551;0.05897;0.06125;0.01911;0.10033;0.02056;0.02149;0.06861;0.04259;0.02599;0.01953;0.02575;0.00000;0.02646;0.09104;0.06185;0.02993;0.07912;0.09791;0.02952;0.02332;0.02273;0.04490;0.02515;0.02403;0.02606;0.02165;0.02878;0.02753;0.02058;0.06846;0.03366;0.02050;0.03193;0.03021;0.05406;0.05472;0.02216;0.08123;0.02042;0.02175;0.02156;0.02568;0.10489;0.13391;0.14770;0.04573;0.09308;0.01910;0.02693;0.02708;0.04181
EHI01522;0.07875;0.10146;0.05583;0.11681;0.06551;0.07350;0.06498;0.09367;0.07032;0.09107;0.07557;0.12338;0.07359;0.07417;0.11934;0.07998;0.09346;0.10191;0.11704;0.10651;0.11266;0.14313;0.08781;0.06562;0.10499;0.08640;0.06246;0.05326;0.06744;0.07190;0.12509;0.10644;0.10645;0.07690;0.07358;0.08752;0.07387;0.06689;0.06833;0.07574;0.07841;0.07752;0.01979;0.02150;0.03062;0.11424;0.09889;0.02151;0.04303;0.11088;0.07554;0.05832;0.06241;0.01725;0.09740;0.01658;0.01929;0.07041;0.04327;0.02286;0.01633;0.02467;0.02646;0.00000;0.08877;0.05486;0.02865;0.07746;0.09888;0.02834;0.01778;0.02151;0.04603;0.02287;0.02133;0.02377;0.01760;0.02330;0.02598;0.01977;0.06521;0.03295;0.01901;0.03117;0.02827;0.05403;0.05311;0.01744;0.07762;0.01728;0.01743;0.01786;0.02323;0.10494;0.13476;0.15193;0.04620;0.09426;0.01741;0.02284;0.02153;0.04253
EHI02263;0.08504;0.08801;0.10001;0.09431;0.10402;0.09228;0.10714;0.09411;0.10602;0.09132;0.10299;0.09285;0.10495;0.09907;0.08915;0.09689;0.08118;0.09393;0.07959;0.09162;0.08715;0.09229;0.09405;0.10683;0.08901;0.09205;0.09599;0.11434;0.10213;0.11005;0.08728;0.08922;0.09121;0.08373;0.10294;0.09939;0.10216;0.09029;0.09350;0.09756;0.09879;0.08895;0.09455;0.09223;0.06681;0.07125;0.06714;0.09082;0.07597;0.07017;0.06766;0.05988;0.06962;0.08740;0.07027;0.09385;0.09479;0.07124;0.07963;0.09052;0.08838;0.07694;0.09104;0.08877;0.00000;0.07512;0.08619;0.07148;0.06526;0.08490;0.08541;0.07554;0.06530;0.08083;0.09171;0.08972;0.09727;0.08862;0.08714;0.08087;0.05560;0.08300;0.08152;0.07043;0.08274;0.08108;0.07380;0.09309;0.06957;0.09322;0.09561;0.08565;0.07511;0.07399;0.07498;0.08834;0.07245;0.06990;0.08727;0.08508;0.08696;0.06345
EHI01831;0.08579;0.09816;0.07998;0.10280;0.08636;0.08675;0.08958;0.09833;0.09212;0.09423;0.09225;0.11107;0.08668;0.09294;0.11234;0.09292;0.09182;0.10047;0.10416;0.10130;0.10836;0.13163;0.09288;0.09163;0.10322;0.09118;0.08237;0.08863;0.08933;0.08830;0.11496;0.10162;0.10410;0.08135;0.09245;0.09477;0.08914;0.08106;0.08316;0.08901;0.08653;0.08269;0.06462;0.05929;0.04825;0.09017;0.08454;0.05827;0.06027;0.08932;0.06712;0.05146;0.06348;0.05739;0.07624;0.05764;0.06217;0.07355;0.06217;0.05796;0.05220;0.05050;0.06185;0.05486;0.07512;0.00000;0.05852;0.07100;0.08510;0.05574;0.04356;0.04916;0.05716;0.05123;0.05807;0.05931;0.05945;0.04874;0.05978;0.05315;0.04313;0.05919;0.05507;0.04832;0.05515;0.06284;0.05386;0.05524;0.05234;0.06116;0.05709;0.05079;0.04525;0.08894;0.11424;0.13340;0.05805;0.08644;0.05792;0.04863;0.04595;0.05197
EHI01485;0.07449;0.09377;0.05603;0.11126;0.06522;0.06980;0.06392;0.08771;0.06824;0.08353;0.07244;0.11472;0.07235;0.07052;0.11264;0.07517;0.08679;0.09592;0.10999;0.10052;0.10483;0.13235;0.08233;0.06420;0.09543;0.08288;0.06038;0.05663;0.06490;0.07175;0.11775;0.10136;0.09891;0.07354;0.07145;0.08393;0.07071;0.06357;0.06419;0.07207;0.07510;0.07397;0.02562;0.02708;0.03030;0.11036;0.09522;0.02663;0.04305;0.10471;0.07339;0.05710;0.06031;0.02237;0.09732;0.02387;0.02497;0.06759;0.04365;0.02801;0.02258;0.02704;0.02993;0.02865;0.08619;0.05852;0.00000;0.07417;0.09537;0.03074;0.02536;0.02434;0.04442;0.02588;0.02688;0.02877;0.02555;0.03008;0.02903;0.02297;0.06519;0.03472;0.02261;0.03255;0.03144;0.05296;0.05316;0.02503;0.07798;0.02374;0.02553;0.02331;0.02656;0.10208;0.12766;0.14797;0.04494;0.09088;0.02163;0.02813;0.02829;0.04058
EHI01559;0.08273;0.09078;0.09255;0.10017;0.09546;0.08779;0.09804;0.09234;0.09643;0.09071;0.09575;0.10295;0.09798;0.09432;0.10030;0.09242;0.08225;0.09618;0.09479;0.09470;0.09513;0.11252;0.09111;0.09941;0.09397;0.08929;0.08749;0.10279;0.09351;0.10143;0.10140;0.09437;0.09476;0.08107;0.09530;0.09547;0.09531;0.08506;0.08567;0.09344;0.09214;0.08586;0.08194;0.07934;0.05891;0.09258;0.08113;0.07844;0.06793;0.08972;0.07037;0.05962;0.06846;0.07434;0.08406;0.08053;0.08189;0.07253;0.07294;0.07828;0.07607;0.06718;0.07912;0.07746;0.07148;0.07100;0.07417;0.00000;0.07995;0.07275;0.07273;0.06582;0.06042;0.07039;0.07948;0.07850;0.08357;0.07616;0.07648;0.06934;0.06031;0.07405;0.07143;0.06248;0.07187;0.07600;0.06801;0.08112;0.07205;0.08167;0.08151;0.07342;0.06561;0.08841;0.10203;0.11747;0.06597;0.08150;0.07478;0.07367;0.07400;0.05810
EHI02297;0.09486;0.09957;0.11162;0.10110;0.11363;0.10349;0.11913;0.10270;0.11435;0.10107;0.11265;0.10203;0.11516;0.11143;0.09902;0.10817;0.08915;0.10425;0.08822;0.09970;0.09670;0.10248;0.10434;0.11812;0.10212;0.10266;0.10305;0.12635;0.11251;0.11755;0.09737;0.09752;0.10065;0.09227;0.11458;0.10799;0.11176;0.09992;0.10153;0.10920;0.10831;0.09817;0.10318;0.10178;0.07906;0.08005;0.07519;0.10064;0.08513;0.08021;0.07413;0.06854;0.07698;0.09732;0.07852;0.10233;0.10525;0.08018;0.08967;0.10060;0.09703;0.08667;0.09791;0.09888;0.06526;0.08510;0.09537;0.07995;0.00000;0.09205;0.09508;0.08454;0.07440;0.09060;0.10232;0.10089;0.10640;0.09857;0.09844;0.08923;0.06284;0.09429;0.09249;0.07833;0.09323;0.09028;0.08068;0.10517;0.07768;0.10435;0.10744;0.09547;0.08371;0.08180;0.08358;0.09372;0.08164;0.07639;0.09818;0.09329;0.09473;0.07207
EHI01521;0.07504;0.09550;0.05609;0.11041;0.06509;0.06921;0.06377;0.08942;0.06949;0.08525;0.07319;0.11520;0.07182;0.07188;0.11118;0.07688;0.08629;0.09522;0.10905;0.10067;0.10642;0.13363;0.08230;0.06468;0.09619;0.08360;0.06114;0.05659;0.06595;0.07254;0.11846;0.10127;0.10051;0.07208;0.07150;0.08339;0.07081;0.06391;0.06468;0.07193;0.07597;0.07415;0.02562;0.02641;0.02960;0.11000;0.09344;0.02570;0.04216;0.10528;0.07193;0.05532;0.05926;0.02171;0.09537;0.02315;0.02512;0.06650;0.04297;0.02755;0.02165;0.02594;0.02952;0.02834;0.08490;0.05574;0.03074;0.07275;0.09205;0.00000;0.02335;0.02347;0.04421;0.02495;0.02602;0.02846;0.02472;0.02821;0.02896;0.02291;0.06203;0.03419;0.02177;0.03039;0.03023;0.05191;0.04988;0.02429;0.07427;0.02351;0.02408;0.02296;0.02483;0.10177;0.12504;0.14523;0.04369;0.08958;0.02120;0.02641;0.02605;0.03936
EHI02291;0.07763;0.09989;0.05164;0.11383;0.06282;0.07354;0.06134;0.09275;0.06951;0.09067;0.07566;0.12163;0.06876;0.07423;0.11943;0.08067;0.09271;0.10019;0.11386;0.10553;0.11469;0.14274;0.08566;0.06299;0.10383;0.08648;0.06185;0.04942;0.06589;0.06708;0.12384;0.10379;0.10583;0.07531;0.07226;0.08669;0.07302;0.06567;0.06639;0.07366;0.07541;0.07517;0.01549;0.01638;0.02673;0.10906;0.09515;0.01603;0.04014;0.10436;0.07279;0.05344;0.05953;0.01250;0.09182;0.00946;0.01421;0.06850;0.04129;0.01744;0.00921;0.01998;0.02332;0.01778;0.08541;0.04356;0.02536;0.07273;0.09508;0.02335;0.00000;0.01677;0.04481;0.01710;0.01575;0.01891;0.01087;0.01401;0.02162;0.01641;0.05625;0.02918;0.01507;0.02618;0.02299;0.05002;0.04630;0.00963;0.06836;0.01117;0.00975;0.01110;0.01701;0.10084;0.13170;0.15160;0.04347;0.09165;0.01271;0.01456;0.01181;0.03973
EHI02007;0.06592;0.08658;0.04851;0.10132;0.05804;0.06137;0.05612;0.07875;0.06112;0.07613;0.06442;0.10653;0.06347;0.06370;0.10546;0.06888;0.07729;0.08678;0.10141;0.09168;0.09670;0.12710;0.07370;0.05683;0.08837;0.07529;0.05304;0.05005;0.05729;0.06408;0.10665;0.09109;0.09191;0.06510;0.06405;0.07616;0.06350;0.05605;0.05588;0.06483;0.06782;0.06591;0.01949;0.02000;0.02198;0.09976;0.08568;0.01948;0.03450;0.09766;0.06314;0.04678;0.05134;0.01525;0.08768;0.01713;0.01919;0.05845;0.03533;0.02181;0.01577;0.01942;0.02273;0.02151;0.07554;0.04916;0.02434;0.06582;0.08454;0.02347;0.01677;0.00000;0.03616;0.01815;0.02047;0.02160;0.01887;0.02202;0.02240;0.01551;0.05539;0.02716;0.01573;0.02298;0.02346;0.04510;0.04386;0.01822;0.06733;0.01758;0.01892;0.01629;0.01782;0.09366;0.11726;0.13322;0.03658;0.08070;0.01538;0.01986;0.01937;0.03239
EHI02009;0.06377;0.07697;0.06555;0.09101;0.06812;0.06378;0.07025;0.07402;0.06923;0.07237;0.07027;0.09333;0.07444;0.06785;0.08982;0.06920;0.06873;0.07956;0.08628;0.08211;0.08284;0.10821;0.07026;0.07026;0.07830;0.07233;0.06031;0.07149;0.06606;0.07502;0.09239;0.08201;0.08159;0.06128;0.06969;0.07538;0.06933;0.05829;0.06066;0.06835;0.07048;0.06601;0.04720;0.04681;0.03321;0.08690;0.07465;0.04659;0.04262;0.08420;0.05795;0.04615;0.05070;0.04174;0.07763;0.04771;0.04836;0.05521;0.04667;0.04678;0.04436;0.03822;0.04490;0.04603;0.06530;0.05716;0.04442;0.06042;0.07440;0.04421;0.04481;0.03616;0.00000;0.03969;0.04712;0.04726;0.04911;0.04857;0.04451;0.03819;0.05262;0.04443;0.03877;0.03552;0.04300;0.05104;0.04941;0.04826;0.06319;0.04791;0.04953;0.04217;0.03749;0.08078;0.10021;0.11630;0.04411;0.07084;0.04153;0.04520;0.04704;0.03706
EHI02292;0.07105;0.09158;0.05161;0.10660;0.06060;0.06533;0.05889;0.08524;0.06425;0.08098;0.06853;0.11093;0.06667;0.06792;0.10996;0.07319;0.08321;0.09177;0.10673;0.09626;0.10214;0.12831;0.07899;0.05983;0.09432;0.07916;0.05721;0.05091;0.06081;0.06651;0.10969;0.09718;0.09725;0.06809;0.06642;0.07963;0.06768;0.06004;0.06021;0.06744;0.07074;0.07001;0.02050;0.02124;0.02483;0.10613;0.08908;0.02144;0.03806;0.10026;0.06774;0.05077;0.05545;0.01688;0.09068;0.01769;0.02004;0.06213;0.03884;0.02241;0.01646;0.02152;0.02515;0.02287;0.08083;0.05123;0.02588;0.07039;0.09060;0.02495;0.01710;0.01815;0.03969;0.00000;0.02092;0.02304;0.01919;0.02204;0.02395;0.01787;0.05754;0.02937;0.01723;0.02607;0.02442;0.04759;0.04634;0.01838;0.06889;0.01775;0.01848;0.01678;0.01993;0.09674;0.12168;0.14195;0.04023;0.08642;0.01633;0.02042;0.01979;0.03663
EHI01493;0.08189;0.10186;0.05452;0.12109;0.06530;0.07413;0.06369;0.09483;0.07030;0.09036;0.07583;0.12446;0.07435;0.07486;0.12393;0.08106;0.09493;0.10270;0.11956;0.10734;0.11666;0.14435;0.08686;0.06364;0.10489;0.08730;0.06321;0.05103;0.06752;0.07232;0.12537;0.10642;0.10826;0.07803;0.07366;0.08932;0.07531;0.06631;0.06859;0.07547;0.07992;0.07900;0.01600;0.01842;0.02978;0.11740;0.10147;0.01854;0.04256;0.11131;0.07833;0.06142;0.06424;0.01389;0.10138;0.01287;0.01503;0.07116;0.04336;0.02039;0.01335;0.02371;0.02403;0.02133;0.09171;0.05807;0.02688;0.07948;0.10232;0.02602;0.01575;0.02047;0.04712;0.02092;0.00000;0.02133;0.01350;0.02166;0.02354;0.01764;0.06928;0.03148;0.01618;0.02993;0.02627;0.05441;0.05421;0.01360;0.08118;0.01241;0.01310;0.01524;0.02173;0.10838;0.13381;0.15172;0.04665;0.09687;0.01381;0.02031;0.01995;0.04349
EHI01530;0.07839;0.10062;0.05627;0.11764;0.06579;0.07362;0.06399;0.09393;0.07067;0.09012;0.07544;0.12320;0.07348;0.07292;0.12186;0.08126;0.09481;0.10196;0.11554;0.10760;0.11276;0.14070;0.08634;0.06529;0.10310;0.08752;0.06272;0.05360;0.06685;0.07210;0.12264;0.10509;0.10574;0.07712;0.07422;0.08880;0.07381;0.06601;0.06709;0.07557;0.07909;0.07731;0.01926;0.02130;0.03025;0.11523;0.10026;0.02118;0.04210;0.10919;0.07743;0.05944;0.06343;0.01686;0.10110;0.01648;0.01881;0.07042;0.04363;0.02277;0.01632;0.02451;0.02606;0.02377;0.08972;0.05931;0.02877;0.07850;0.10089;0.02846;0.01891;0.02160;0.04726;0.02304;0.02133;0.00000;0.01747;0.02369;0.02543;0.01971;0.06819;0.03267;0.01960;0.03065;0.02842;0.05520;0.05308;0.01751;0.08076;0.01677;0.01758;0.01777;0.02368;0.10658;0.13290;0.15134;0.04637;0.09386;0.01716;0.02320;0.02258;0.04273
EHI00383;0.08641;0.10954;0.05512;0.12329;0.06721;0.07844;0.06413;0.10070;0.07361;0.09820;0.07869;0.12984;0.07627;0.07828;0.13176;0.08495;0.10265;0.10947;0.12759;0.11388;0.12139;0.15386;0.09221;0.06499;0.11310;0.09416;0.06587;0.04831;0.06919;0.07411;0.13404;0.11239;0.11443;0.08429;0.07687;0.09415;0.07817;0.07073;0.07079;0.07956;0.08374;0.08404;0.00993;0.01300;0.03109;0.12317;0.10693;0.01365;0.04461;0.11594;0.08314;0.06543;0.06833;0.00900;0.10652;0.00457;0.00898;0.07649;0.04478;0.01612;0.00699;0.02233;0.02165;0.01760;0.09727;0.05945;0.02555;0.08357;0.10640;0.02472;0.01087;0.01887;0.04911;0.01919;0.01350;0.01747;0.00000;0.01760;0.02099;0.01519;0.07232;0.03150;0.01380;0.03133;0.02507;0.05683;0.05599;0.00623;0.08428;0.00562;0.00559;0.01111;0.02094;0.11197;0.14367;0.16686;0.04902;0.10004;0.00921;0.01768;0.01554;0.04616
EHI01528;0.08124;0.10382;0.05617;0.11729;0.06761;0.07779;0.06604;0.09802;0.07443;0.09364;0.08011;0.12606;0.07261;0.07838;0.12373;0.08569;0.09715;0.10399;0.11844;0.10809;0.11733;0.14593;0.08903;0.06795;0.10690;0.08920;0.06571;0.05445;0.07058;0.07079;0.12557;0.10579;0.11079;0.07789;0.07668;0.09053;0.07766;0.07107;0.07144;0.07722;0.07920;0.07749;0.02199;0.02259;0.03080;0.11416;0.09859;0.02167;0.04469;0.10680;0.07631;0.05737;0.06387;0.01871;0.09581;0.01522;0.02085;0.07304;0.04615;0.02265;0.01509;0.02400;0.02878;0.02330;0.08862;0.04874;0.03008;0.07616;0.09857;0.02821;0.01401;0.02202;0.04857;0.02204;0.02166;0.02369;0.01760;0.00000;0.02619;0.02172;0.06040;0.03454;0.02091;0.03094;0.02741;0.05417;0.05039;0.01550;0.07387;0.01716;0.01634;0.01618;0.02160;0.10539;0.13522;0.15238;0.04688;0.09428;0.01887;0.01887;0.01650;0.04423
